App,Label,VIDEO,BLUETOOTH_INFORMATION,CALENDAR_INFORMATION,SMS_MMS,ACCOUNT_INFORMATION,EMAIL_INFORMATION,FILE_INFORMATION,SYNCHRONIZATION_DATA,PHONE_CONNECTION,NETWORK,AUDIO,IMAGE,ACCOUNT_SETTINGS,VOIP,FILE,DATABASE_INFORMATION,NETWORK_INFORMATION,HARDWARE_INFO,NFC,SYSTEM_SETTINGS,CONTACT_INFORMATION,VOIP_INFORMATION,PHONE_INFORMATION,EMAIL_SETTINGS,PHONE_STATE,BROWSER_INFORMATION,NO_CATEGORY,LOG,BLUETOOTH,UNIQUE_IDENTIFIER,INTER_APP_COMMUNICATION,EMAIL,ALL,LOCATION_INFORMATION
benign-app-84-C11C411C3BE3FB59250DFD525AE49F2B931BFEEED9C85B45D1EFB075331FB581.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,198,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11
benign-app-43-685F5CF0B0A6D11930B736D5407F52709FB6D6ED788C1F010F19D018292AD77D.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,93,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
benign-app-34-455D7C6156172677962BF1D85FFD54091690EE01DEBAFA3330A3630414750976.apk,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,141,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
malicious-app-16-0A00988A824B3582FA58C2E76FC2352D4E91CED9C9987042113F602D53D25B0E.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,116,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
benign-app-25-330721D3885EC6F55051D328E28399379BFAA55632C0B78476FE8EAB29CEDB35.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,51,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-54-7F62AB1C9894BAD049A2E8A05B29B25CEA9B6108952514C773500BFFD76C1D95.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,121,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malicious-app-24-01C1011ACDAC7A9CF40231626B5C4F556FC8EC92A173F3B87897CEBE70BEB883.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,232,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,17
malicious-app-3-86A34754D9A80B8483067DF420E107AC8BC4BEE0E2B2BC7B29A287730F5A153C.apk,1,9,9,12,9,9,9,9,9,9,9,9,9,9,9,9,9,532,9,9,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9
benign-app-77-ACFDF7692C6246568C5CA46EF7801916C38AEAE43E068B189830A9450AB47B2F.apk,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,350,8,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,16
malicious-app-28-216CFE2B3FA445495D754773A2E4D06F7BE66D09E410B30ECA84FE875A00C170.apk,1,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,606,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,26
malicious-app-3-8A705C9D314B94A5C86FB5F4B8DC64706F0378970D8B8E474AD63F284EE7836A.apk,1,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,474,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,14
benign-app-81-B9EB293313E272E7DC8C202D2561CB152A70318FA25768C6DFF2A6D3F300EBA5.apk,0,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,607,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,21
malicious-app-51-CA8BB2A18417B5F6BDAE9BEE239FE10BC9845A5108B2B8CF1D3707FA49B5CED1.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,532,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,12
benign-app-14-1E80E7B224D79E74A3EAB0EC03CE4177A8D2E837DACE394FEAFAF18150009713.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,168,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26
malicious-app-72-A57AB7B618F0D815D9AABB2688147BC97A73E5DF38CC125738E9A28F286834C3.apk,1,7,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,130,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
malicious-app-60-48214F2D1AB1509DB9BF379861C00CD8026E060E4A872C13813C8724262DC4F1.apk,1,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,69,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
malicious-app-7-CCEA2DAAEE5D9EF65876B8B1E7AED79454CD7E501F291ED2ACA0E4973FF1075F.apk,1,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,113,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
benign-app-68-9660CDF9073CB9F55E55BA0A95EAF94424431EF89A7F7251F422C010EF53A017.apk,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,125,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
benign-app-12-1C3E7C85DBEE8CD1293814356F5704AC02FB30D10187F7042C5083C5098EB48E.apk,0,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,480,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,12
benign-app-62-8BB2570E5FE9CBA3021C04DB6334558A49FDC55885C4A32E92C2369F9ACC697B.apk,0,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,625,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,16
benign-app-89-C8E75DFCEE610FCD1DE3FD81BC897F3266B3C79B0E495835CEE503ADEBF71ABC.apk,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,70,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
benign-app-26-334ED0AAE6E5F615213DA520A76579FB091B1CE00CA36F5D3CA2AE2A5D5D5009.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,171,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-5-083E11AB8280522404D62963B6118DE52D81333D8640C876244687FD1FEC065D.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,181,7,7,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-66-9374A9EA721DD8C3F2C80A66D73A2BF093D126A18B4F011D10E888B5D30CBE11.apk,0,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,519,10,10,12,11,10,10,10,10,10,10,10,10,10,10,10,10,12
malicious-app-93-5458E2FC42B2B7DAEA8BC97B62C580171D9A64B0C5C9BCB42A44869EE3ECC984.apk,1,11,11,15,11,11,11,11,11,11,11,11,11,11,11,11,11,498,11,11,16,11,11,11,11,11,11,11,11,11,11,11,11,11,18
malicious-app-2-7EB06AA2DF84855EE73AB3D9DBD4F5128C5C0C98ED3C31901DFC7568B34B7B34.apk,1,8,8,11,8,8,8,8,8,8,8,8,8,8,8,8,8,359,8,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8
benign-app-74-A6BF87DAF03A393FA59FBDC0FBE5624FDEA7FEF2617E3D9AE54BA4CAB1DDEF5E.apk,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,297,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,10
malicious-app-50-2AAAEAC224701E7537D728C4DE6A06F8103EDDEE89ADB0989833A27F3ED95907.apk,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,348,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16
benign-app-91-CC77DBBE6A567F682FD5307D8E74B4EB7E028A83B82C6A1E38079DEA76CF1AC7.apk,0,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,450,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,18
malicious-app-31-B8510B58474093BDCC8DB1ECADFF7373CA9B024ABB2529FA308760A7AB3A1487.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,150,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
benign-app-6-0FC8664C3BE159A46811CF7192887A7190CB65B73F6B9E6D95B891378F2196B1.apk,0,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,473,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,23
malicious-app-87-8285337EFEF19C7B80ED5AA1CF11F45922A17C0E6CA26572D252D167447B83FA.apk,1,9,9,11,9,10,9,9,9,9,9,9,9,9,9,9,9,224,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,19
benign-app-29-35C23CD66B10959BF79501DAA7E7ADD06DC2FDBE8FEBC68FC7D4AAD623CA0B35.apk,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,207,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,15
malicious-app-82-A287546C13492798F5903EAB3EC0D648A23CAE795C05274A74674EADD7214AF9.apk,1,8,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,272,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17
malicious-app-58-1C2D30B622746AD19B495CA1E28D3B3DC7F0ADE684E120D395AE83E821E5BB88.apk,1,10,10,15,10,11,10,10,10,10,10,10,10,10,10,10,10,626,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,23
benign-app-57-876BD61DF420E1473EDF1A63FB762F3BCD910B79086F34FF777046CCE44369E1.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,141,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
malicious-app-37-DFE187680B20DD5119F08EDA71A317FC45139382CEE1466F21C3623C5F5A127D.apk,1,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,386,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,29
benign-app-7-10EDA742FB707DC442217D942923EAFA7140E83C4C2C04F477A8EA5368285FE5.apk,0,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,113,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
benign-app-8-19B1E780FA2934ABC1E968248BD4F7E0124A8D2CF4AA86CFDA19F67DDBCF94D7.apk,0,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,212,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15
malicious-app-100-C08786A8670D303AD2B6CB6CABD23C7828DDD66C3BDC2AEB635C9CC9118A771A.apk,1,8,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,182,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11
malicious-app-91-92FC9F43E4223C49502765583E42BAD3C59059637371EEDA1D03DC9739B1DCE3.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,517,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,21
malicious-app-62-1D239AC5886F9A6C321F0CD520E5CF507D7BD97B72AEEC0A3A93F2CE1AF19F66.apk,1,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,625,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,16
